product_handle,Title,Body (HTML),Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
mens-jogger,Mens Jogger,"<div class=""ln-c-foldable__head"">
<h3 class=""ln-u-h5 ln-c-foldable__title"" id=""tu-product-details"">Product Details</h3>
</div>
<div class=""ln-c-foldable__body"">
<div class=""ln-u-soft-bottom ln-o-disc-list"">
<div>A good pair of joggers is essential kit these days. These charcoal grey bottoms tick all the boxes, with a soft lining, a drawstring waist and two side and one rear pocket. Throw them on when you jump in the car to the gym, or kick back and relax on chilling Sundays.</div>
<ul>
<li>Charcoal grey joggers</li>
<li>3 Pockets</li>
<li>Cotton-rich</li>
<li>Drawstring waist</li>
<li>Model wears size M </li>
<li>Model's height is 6'2""</li>
</ul>
</div>
<div class=""ln-u-soft-bottom"">
<h4 class=""ln-u-h5 ln-u-flush-bottom"">Material</h4>
<ul class=""ln-o-disc-list"">
<li class=""ln-o-disc-list__item"">60% Cotton, 40% Polyester</li>
</ul>
</div>
<div class=""ln-u-soft-bottom"">
<h4 class=""ln-u-h5 ln-u-flush-bottom"">Care</h4>
Machine washable</div>
</div>",,,TRUE,Size,M,Color,Black,,,'65769,250,shopify,2,deny,manual,14,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
mens-jogger,,,,,,,L,,Black,,,'65770,250,shopify,2,deny,manual,14,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
mens-jeans,Men's Jeans,"<div class=""ln-c-foldable__head"">
<h3 class=""ln-u-h5 ln-c-foldable__title"" id=""tu-product-details"">Product Details</h3>
</div>
<div class=""ln-c-foldable__body"">
<div class=""ln-u-soft-bottom ln-o-disc-list"">
<div>Update your everyday denim edit with these cool dyed black with blue tint skinny fit jeans. They feature added stretch, five pockets, and a classic zip and button fly. Team with your favourite t-shirt and trainers for a casual look that's perfect for all year round.</div>
<ul>
<li>Skinny fit jeans</li>
<li>Black with blue tint dyed denim</li>
<li>5 Pockets</li>
<li>Zip &amp; button fly</li>
<li>Added stretch</li>
<li>Model's height is 6'2""</li>
<li>Model wears a size W34"", L32"" </li>
</ul>
</div>
<div class=""ln-u-soft-bottom"">
<h4 class=""ln-u-h5 ln-u-flush-bottom"">Material</h4>
<ul class=""ln-o-disc-list"">
<li class=""ln-o-disc-list__item"">98% Cotton, 2% Elastane</li>
</ul>
</div>
<div class=""ln-u-soft-bottom"">
<h4 class=""ln-u-h5 ln-u-flush-bottom"">Care</h4>
Machine washable</div>
</div>",,,TRUE,Size,W30 L32,Color,Black,,,'65778,0,shopify,2,deny,manual,18,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,
short-sleeve-shirt,Short Sleeve Shirt,"<div class=""ln-c-foldable__head"">
<h3 class=""ln-u-h5 ln-c-foldable__title"" id=""tu-product-details"">Product Details</h3>
</div>
<div class=""ln-c-foldable__body"">
<div class=""ln-u-soft-bottom ln-o-disc-list"">
<div>Everyone needs a classic denim blue shirt in their wardrobe. Crafted from pure BCI cotton, which supports sustainable cotton production, it has a chambray finish, is cut to a regular fit, it has a classic collar, button fastening and a patch pocket. Team with your favourite pair of jeans for a cool weekend vibe. Dress it up or dress it down, it's bound to become a future outfit staple.</div>
<ul>
<li>Blue chambray</li>
<li>Regular fit</li>
<li>Button fastening</li>
<li>Front pocket</li>
<li>100% BCI Cotton</li>
<li>Model's chest is 40""</li>
<li>Model wears a size M</li>
<li>Model's height is 6' </li>
</ul>
</div>
<div class=""ln-u-soft-bottom"">
<h4 class=""ln-u-h5 ln-u-flush-bottom"">Material</h4>
<ul class=""ln-o-disc-list"">
<li class=""ln-o-disc-list__item"">100% BCI Cotton</li>
</ul>
</div>
<div class=""ln-u-soft-bottom"">
<h4 class=""ln-u-h5 ln-u-flush-bottom"">Care</h4>
Machine washable</div>
</div>",,,TRUE,Size,M,,,,,'45678,106594,shopify,2,deny,manual,22,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,
short-sleeve-shirt,,,,,,,L,,,,,'45679,106594,shopify,2,deny,manual,24,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,
full-sleeve-shirt,Full Sleeve Shirt,"<div class=""ln-c-foldable__head"">
<h3 class=""ln-u-h5 ln-c-foldable__title"" id=""tu-product-details"">Product Details</h3>
</div>
<div class=""ln-c-foldable__body"">
<div class=""ln-u-soft-bottom ln-o-disc-list"">
<div>Our red check shirt is ideal for the transitional months. With a nod to 70s punk styling, it has a classic collar with a button-through front and long sleeves. Pop it on over a plain tee, or wear as it is, the choice is yours. Team it with your favourite jeans and chunky boots for a cool downtime outfit.</div>
<ul>
<li>Red check</li>
<li>Cotton twill fabric</li>
<li>Long sleeves</li>
<li>Patch pocket</li>
<li>Regular fit</li>
<li>Model wears a size M</li>
<li>Model's chest size is 40"" </li>
<li>Model's height is 6'</li>
</ul>
</div>
<div class=""ln-u-soft-bottom"">
<h4 class=""ln-u-h5 ln-u-flush-bottom"">Material</h4>
<ul class=""ln-o-disc-list"">
<li class=""ln-o-disc-list__item"">100% Cotton</li>
</ul>
</div>
<div class=""ln-u-soft-bottom"">
<h4 class=""ln-u-h5 ln-u-flush-bottom"">Care</h4>
Machine washable</div>
</div>",,,TRUE,Size,S,,,,,'23456,230,shopify,2,deny,manual,16,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
full-sleeve-shirt,,,,,,,M,,,,,'23457,230,shopify,2,deny,manual,16,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
short-sleeve-t-shirt,Short Sleeve T-shirt,"<div class=""ln-u-soft-bottom ln-o-disc-list"">
<div>Update your casual wear with our smart navy polo shirt. Crafted in pure cotton with a retro-inspired geometric print, it has two button fastening to the neck, and short sleeves to keep you cool. Team with denim jeans for an easy downtime style.</div>
<ul>
<li>Polo shirt</li>
<li>Geometric print</li>
<li>Pure cotton</li>
<li>2 Button fastening</li>
<li>Short sleeves</li>
<li>Model wears a size M</li>
<li>Model's chest size is 42""</li>
<li>Model's height is 6'2"" </li>
</ul>
</div>
<div class=""ln-u-soft-bottom"">
<h4 class=""ln-u-h5 ln-u-flush-bottom"">Material</h4>
<ul class=""ln-o-disc-list"">
<li class=""ln-o-disc-list__item"">100% Cotton</li>
</ul>
</div>
<div class=""ln-u-soft-bottom"">
<h4 class=""ln-u-h5 ln-u-flush-bottom"">Care</h4>
Machine washable</div>",,,TRUE,Size,S,Color,red,,,'12345,250,shopify,2,deny,manual,18,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
short-sleeve-t-shirt,,,,,,,M,,red,,,'12348,250,shopify,2,deny,manual,20,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
short-sleeve-t-shirt,,,,,,,L,,red,,,'12351,250,shopify,2,deny,manual,20,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
short-sleeve-t-shirt,,,,,,,XL,,maroon,,,'12356,250,shopify,2,deny,manual,22,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
